run	embeddings	accuracy	precision	recall	f1_score
4	sent_emb_glove_vad_dot_product_hstack_pca	0.810502	0.859636	0.885156	0.872209
5	sent_emb_glove_vad_dot_product_hstack_pca	0.801370	0.868671	0.857812	0.863208
6	sent_emb_glove_vad_dot_product_hstack_pca	0.799658	0.864886	0.860156	0.862515
7	sent_emb_glove_vad_dot_product_hstack_pca	0.801370	0.867508	0.859375	0.863422
8	sent_emb_glove_vad_dot_product_hstack_pca	0.809932	0.863951	0.878125	0.870980
9	sent_emb_glove_vad_dot_product_hstack_pca	0.797374	0.876936	0.840625	0.858396
10	sent_emb_glove_vad_dot_product_hstack_pca	0.803653	0.862229	0.870313	0.866252
1	sent_emb_glove_vad_mms_dot_product_hstack_pca	0.796804	0.837719	0.895312	0.865559
2	sent_emb_glove_vad_mms_dot_product_hstack_pca	0.803082	0.838033	0.905469	0.870447
3	sent_emb_glove_vad_mms_dot_product_hstack_pca	0.797374	0.866772	0.853906	0.860291
4	sent_emb_glove_vad_mms_dot_product_hstack_pca	0.804795	0.862442	0.871875	0.867133
5	sent_emb_glove_vad_mms_dot_product_hstack_pca	0.805936	0.854985	0.884375	0.869432
6	sent_emb_glove_vad_mms_dot_product_hstack_pca	0.799658	0.864314	0.860938	0.862622
7	sent_emb_glove_vad_mms_dot_product_hstack_pca	0.780251	0.877001	0.813281	0.843940
8	sent_emb_glove_vad_mms_dot_product_hstack_pca	0.792808	0.863600	0.850781	0.857143
9	sent_emb_glove_vad_mms_dot_product_hstack_pca	0.811073	0.851742	0.897656	0.874097
10	sent_emb_glove_vad_mms_dot_product_hstack_pca	0.800799	0.853992	0.877344	0.865511
1	sent_emb_glove_vad_dot_product_hstack_plus_bias_pca	0.799658	0.863743	0.861719	0.862730
2	sent_emb_glove_vad_dot_product_hstack_plus_bias_pca	0.809932	0.859529	0.884375	0.871775
3	sent_emb_glove_vad_dot_product_hstack_plus_bias_pca	0.815639	0.857891	0.896094	0.876576
4	sent_emb_glove_vad_dot_product_hstack_plus_bias_pca	0.812785	0.873041	0.870313	0.871674
5	sent_emb_glove_vad_dot_product_hstack_plus_bias_pca	0.787671	0.869106	0.835156	0.851793
6	sent_emb_glove_vad_dot_product_hstack_plus_bias_pca	0.809361	0.855639	0.889062	0.872031
7	sent_emb_glove_vad_dot_product_hstack_plus_bias_pca	0.797374	0.878788	0.838281	0.858057
8	sent_emb_glove_vad_dot_product_hstack_plus_bias_pca	0.813927	0.858108	0.892969	0.875191
9	sent_emb_glove_vad_dot_product_hstack_plus_bias_pca	0.791667	0.879039	0.828906	0.853237
10	sent_emb_glove_vad_dot_product_hstack_plus_bias_pca	0.809361	0.853513	0.892188	0.872422
1	sent_emb_glove_vad_mms_dot_product_hstack_plus_bias_pca	0.816210	0.858533	0.896094	0.876911
2	sent_emb_glove_vad_mms_dot_product_hstack_plus_bias_pca	0.817922	0.859387	0.897656	0.878105
3	sent_emb_glove_vad_mms_dot_product_hstack_plus_bias_pca	0.793950	0.889737	0.819531	0.853192
4	sent_emb_glove_vad_mms_dot_product_hstack_plus_bias_pca	0.812785	0.874803	0.867969	0.871373
5	sent_emb_glove_vad_mms_dot_product_hstack_plus_bias_pca	0.814498	0.863671	0.885938	0.874663
6	sent_emb_glove_vad_mms_dot_product_hstack_plus_bias_pca	0.816781	0.874902	0.874219	0.874560
7	sent_emb_glove_vad_mms_dot_product_hstack_plus_bias_pca	0.792237	0.871753	0.839063	0.855096
8	sent_emb_glove_vad_mms_dot_product_hstack_plus_bias_pca	0.811073	0.868687	0.873437	0.871056
9	sent_emb_glove_vad_mms_dot_product_hstack_plus_bias_pca	0.805936	0.861538	0.875000	0.868217
10	sent_emb_glove_vad_mms_dot_product_hstack_plus_bias_pca	0.809361	0.854042	0.891406	0.872324
